,x,y,w
218,0.4,2.5,100
219,0.4,2.5500000000000003,0
220,0.55,1.35,100
221,0.55,1.4000000000000001,100
222,0.5,1.4500000000000002,100
223,0.5,1.5,100
224,0.5,1.55,100
225,0.5,1.6,100
226,0.5,1.6500000000000001,100
227,0.5,1.7000000000000002,100
228,0.45,1.75,100
229,0.45,1.8,100
230,0.45,1.85,100
231,0.45,1.9000000000000001,100
232,0.45,1.9500000000000002,100
233,0.45,2.0,100
234,0.45,2.0500000000000003,100
235,0.4,2.1,100
236,0.4,2.15,100
237,0.4,2.2,100
238,0.4,2.25,100
239,0.4,2.3000000000000003,100
240,0.4,2.35,100
241,0.4,2.4000000000000004,100
242,0.35000000000000003,2.45,100
243,0.35000000000000003,2.5,100
244,0.35000000000000003,2.5500000000000003,0
245,0.55,1.35,100
246,0.55,1.4000000000000001,100
247,0.5,1.4500000000000002,100
248,0.5,1.5,100
249,0.5,1.55,100
250,0.5,1.6,100
251,0.5,1.6500000000000001,100
252,0.45,1.7000000000000002,100
253,0.45,1.75,100
254,0.45,1.8,100
255,0.45,1.85,100
256,0.45,1.9000000000000001,100
257,0.45,1.9500000000000002,100
258,0.4,2.0500000000000003,100
259,0.4,2.1,100
260,0.4,2.15,100
261,0.4,2.2,100
262,0.4,2.25,100
263,0.4,2.3000000000000003,100
264,0.35000000000000003,2.35,100
265,0.35000000000000003,2.4000000000000004,100
266,0.35000000000000003,2.45,100
267,0.35000000000000003,2.5,100
268,0.35000000000000003,2.5500000000000003,100
269,0.35000000000000003,2.6,0
270,0.55,1.35,100
271,0.5,1.4000000000000001,100
272,0.5,1.4500000000000002,100
273,0.5,1.5,100
274,0.5,1.55,100
275,0.5,1.6,100
276,0.5,1.6500000000000001,100
277,0.45,1.7000000000000002,100
278,0.45,1.75,100
279,0.45,1.8,100
280,0.45,1.85,100
281,0.45,1.9000000000000001,100
282,0.4,1.9500000000000002,100
283,0.4,2.0,100
284,0.4,2.0500000000000003,100
285,0.4,2.1,100
286,0.4,2.15,100
287,0.35000000000000003,2.2,100
288,0.35000000000000003,2.25,100
289,0.35000000000000003,2.3000000000000003,100
290,0.35000000000000003,2.35,100
291,0.35000000000000003,2.4000000000000004,100
292,0.35000000000000003,2.45,100
293,0.30000000000000004,2.5,100
294,0.30000000000000004,2.5500000000000003,0
295,0.55,1.35,100
296,0.5,1.4500000000000002,100
297,0.5,1.5,100
298,0.5,1.55,100
299,0.5,1.6,100
300,0.5,1.6500000000000001,100
301,0.45,1.7000000000000002,100
302,0.45,1.75,100
303,0.45,1.8,100
304,0.45,1.85,100
305,0.45,1.9000000000000001,100
306,0.4,1.9500000000000002,100
307,0.4,2.0,100
308,0.4,2.0500000000000003,100
309,0.4,2.1,100
310,0.35000000000000003,2.15,100
311,0.35000000000000003,2.2,100
312,0.35000000000000003,2.25,100
313,0.35000000000000003,2.3000000000000003,100
314,0.35000000000000003,2.35,100
315,0.30000000000000004,2.4000000000000004,100
316,0.30000000000000004,2.45,100
317,0.30000000000000004,2.5,100
318,0.30000000000000004,2.5500000000000003,100
